"Título do vídeo;Editor;Dispositivo de impressão;Data de publicação;Alcance;Valor Gasto (BRL);Click-to-Play;Visualizações 10 segundos;Visualizações de 25% do vídeo;Visualizações de 50% do vídeo;Visualizações de 75% do vídeo;Visualizações de 95% do vídeo;Tempo médio assistido do vídeo;Ações;Compartilhamentos da publicação;Comentários na publicação;Envolvimento com a publicação;Reações à publicação"
"Vídeo 15;Luiz;Smartphone Android;42986;308377;760,19541630867;115558;47480;36998;28866;23425;18380;00:00:09;117046;188;77;116895;1072"
"Vídeo 49;Luiz;Desktop;43003;8844;23,2881091773733;5628;1475;737;466;351;300;00:00:08;5646;2;;5641;5"
"Vídeo 49;Luiz;Tablet Android;43003;512;3,28691030431395;820;248;159;112;87;69;00:00:09;824;1;;824;3"
"Vídeo 49;Luiz;iPad;43003;1439;4,64563310488141;996;259;130;93;69;50;00:00:09;997;;;997;1"
"Vídeo 49;Luiz;iPod;43003;0;0,0399624353108078;13;5;3;3;3;2;00:00:12;13;;;13;"
"Vídeo 49;Luiz;Outros;43003;11;0,00999060882770196;;;;;;;00:00:00;0;;;;"
"Vídeo 15;Luiz;Outros;42986;0;0,00999060882770196;;;;;;;00:00:03;0;;;;"
"Vídeo 15;Luiz;Tablet Android;42986;1545;4,78550162846924;765;319;247;193;159;134;00:00:12;776;3;;776;8"
"Vídeo 15;Luiz;iPod;42986;0;0,0699342617939137;12;8;6;6;5;3;00:00:23;13;;;13;1"
"Vídeo 49;Luiz;Smartphone Android;43003;383439;741,562930845006;224603;73197;46068;33855;24108;19834;00:00:09;226169;289;69;225966;1005"
"Vídeo 15;Luiz;Desktop;42986;7167;16,124842647911;3324;940;589;410;326;274;00:00:06;3344;2;;3340;12"
"Vídeo 15;Luiz;iPhone;42986;70775;211,481207664795;27647;10568;8232;6416;5030;3926;00:00:09;27870;15;29;27849;158"
"Vídeo 15;Luiz;iPad;42986;1805;7,33310687953324;908;272;188;137;102;77;00:00:09;909;;;908;"
"Vídeo 27;Luiz;iPod;42992;0;0,0399624353108078;9;7;5;3;2;2;00:00:15;9;;;9;"
"Vídeo 27;Luiz;Desktop;42992;6021;16,0049553419785;2331;636;441;219;165;135;00:00:05;2345;1;;2343;5"
"Vídeo 27;Luiz;Smartphone Android;42992;233720;724,468999140808;115255;50088;38832;21997;13133;9323;00:00:09;115833;45;15;115820;505"
"Vídeo 27;Luiz;Tablet Android;42992;2498;9,77081543349252;1470;612;441;242;152;112;00:00:09;1475;2;;1475;3"
"Vídeo 49;Luiz;iPhone;43003;93300;227,166463524287;63012;17560;10423;7762;5502;4551;00:00:08;63375;71;21;63341;237"
"Vídeo 26;Osvaldo;iPad;42991;1280;6,30407417027994;576;223;102;66;54;44;00:00:07;580;2;;580;2"
"Vídeo 43;Osvaldo;Outros;43000;0;0,0399632338248811;2;;;;;;00:00:03;2;;;2;"
"Vídeo 43;Osvaldo;Tablet Android;43000;4671;22,0097510290533;2657;1051;709;557;436;236;00:00:10;2697;7;;2697;33"
"Vídeo 43;Osvaldo;Smartphone Android;43000;240997;694,830755704752;91450;42078;31602;26732;22731;13939;00:00:10;93973;482;103;93818;1783"
"Vídeo 43;Osvaldo;iPhone;43000;36412;129,750629420933;15189;5955;4268;3553;2954;1763;00:00:09;15469;56;18;15458;195"
"Vídeo 43;Osvaldo;iPad;43000;4288;28,7435559285457;2919;1056;681;539;415;212;00:00:11;2961;10;;2961;32"
"Vídeo 26;Osvaldo;iPhone;42991;61752;204,248006873539;20686;10729;5630;3981;3192;2389;00:00:08;20955;18;32;20933;197"
"Vídeo 26;Osvaldo;Desktop;42991;30908;90,9545027673987;8508;3014;1845;1326;1089;927;00:00:06;8647;10;9;8609;76"
"Vídeo 26;Osvaldo;iPod;42991;64;0,259755829520251;21;14;6;6;5;3;00:00:10;21;;;21;"
"Vídeo 26;Osvaldo;Smartphone Android;42991;259740;691,470018182908;77725;40389;22861;15999;12842;9811;00:00:08;79293;157;76;79064;1106"
"Vídeo 26;Osvaldo;Tablet Android;42991;1792;6,73367034987112;699;299;155;99;84;64;00:00:08;711;;;710;11"
"Vídeo 26;Osvaldo;Outros;42991;25;0,0299718264831059;1;;;;;;00:00:03;1;;;1;"
"Vídeo 27;Luiz;iPad;42992;3331;17,4735748396507;1692;679;508;207;108;65;00:00:07;1694;;;1694;2"
"Vídeo 27;Luiz;Outros;42992;0;0,0199812176554039;;;;;;;00:00:01;0;;;;"
"Vídeo 27;Luiz;iPhone;42992;56364;232,221711591104;27046;10986;8339;3989;2154;1453;00:00:07;27110;3;7;27104;48"
"Vídeo 34;Marcos;iPod;42995;37;0,149862126843304;14;4;4;2;;;00:00:05;14;;;14;"
"Vídeo 34;Marcos;Desktop;42995;26031;70,664988210846;9836;3101;2455;1517;1251;684;00:00:06;9929;7;6;9916;54"
"Vídeo 34;Marcos;Tablet Android;42995;2688;9,75102905327099;1329;453;335;190;142;74;00:00:07;1347;4;;1347;14"
"Vídeo 34;Marcos;iPhone;42995;52921;178,865443791712;20650;7746;6173;3961;3158;1121;00:00:06;20939;29;28;20908;201"
"Vídeo 34;Marcos;iPad;42995;2284;11,8790712544459;1153;317;227;114;78;37;00:00:06;1161;;1;1160;6"
"Vídeo 34;Marcos;Outros;42995;0;0,0299724253686608;;;;;;;00:00:00;0;;;;"
"Vídeo 29;Marcos;Smartphone Android;42993;184618;526,305798665228;99430;38438;34281;18092;12449;8879;00:00:08;100250;168;46;100168;524"
"Vídeo 35;Luiz;Outros;42996;0;0,0799264676497622;3;2;2;2;2;2;00:00:24;3;;;3;"
"Vídeo 21;Osvaldo;iPad;42989;2454;7,81281221276426;1006;272;188;119;91;61;00:00:07;1011;;;1008;2"
"Vídeo 21;Osvaldo;iPhone;42989;84980;192,622787035927;30821;9065;5881;4134;3187;2383;00:00:06;31114;30;15;31060;194"
"Vídeo 35;Luiz;iPod;42996;0;0,0799264676497622;15;7;6;5;5;6;00:00:12;16;;1;16;"
"Vídeo 35;Luiz;iPad;42996;4601;14,7364424729249;1811;749;633;580;532;500;00:00:11;1821;1;3;1821;6"
